Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","11/05/2022 21:50 UTC"
"Last updated:","10 November 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=21yevO
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,ETH
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 5 - 17","Female 18 - 59","Female 60",f_other,"Female total",f_unknown,"Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 5 - 17","Male 18 - 59","Male 60","Male total",m_other,m_unknown,Total
2019,Ethiopia,ETH,Luxembourg,LUX,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,72
2019,Ethiopia,ETH,Mauritania,MRT,0,0,0,,6,0,,6,,0,0,0,,0,0,0,,,6
2019,Ethiopia,ETH,Mexico,MEX,0,0,0,,0,0,,0,,0,0,0,,13,0,13,,,18
2019,Ethiopia,ETH,Malaysia,MYS,0,0,0,,12,0,,12,,0,0,0,,12,0,12,,,24
2019,Ethiopia,ETH,Malawi,MWI,8,0,0,,9,0,,17,,0,0,0,,42,0,42,,,59
2019,Ethiopia,ETH,Mozambique,MOZ,0,6,0,,0,0,,6,,0,0,0,,15,0,15,,,21
2019,Ethiopia,ETH,Malta,MLT,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,212
2019,Ethiopia,ETH,Netherlands,NLD,0,0,0,,0,0,,32,,0,0,0,,0,0,58,,,546
2019,Ethiopia,ETH,Niger,NER,5,0,0,,16,0,,21,,0,0,5,,25,0,30,,,56
2019,Ethiopia,ETH,Nigeria,NGA,0,0,0,,0,0,,0,,0,0,0,,6,0,6,,,6
2019,Ethiopia,ETH,Norway,NOR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,1756
2019,Ethiopia,ETH,"New Zealand",NZL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,16
2019,Ethiopia,ETH,Peru,PER,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Ethiopia,ETH,Poland,POL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,10
2019,Ethiopia,ETH,Portugal,PRT,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,6
2019,Ethiopia,ETH,Romania,ROU,0,0,0,,7,0,,7,,0,0,0,,0,0,5,,,12
2019,Ethiopia,ETH,"South Africa",ZAF,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,67278
2019,Ethiopia,ETH,Rwanda,RWA,0,0,6,,0,0,,6,,0,0,0,,0,0,0,,,12
2019,Ethiopia,ETH,Somalia,SOM,1449,2662,1469,,5144,124,,10848,,1580,2652,1531,,4922,241,10926,,,21779
2019,Ethiopia,ETH,Spain,ESP,0,0,0,,0,0,,15,,0,0,0,,0,0,10,,,80
2019,Ethiopia,ETH,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Ethiopia,ETH,"South Sudan",SSD,365,460,342,,1093,70,,2330,,401,511,402,,762,18,2094,,,4424
2019,Ethiopia,ETH,Sudan,SDN,276,972,824,,5362,513,,7947,,287,1075,847,,6073,835,9117,,,17064
2019,Ethiopia,ETH,Eswatini,SWZ,0,0,5,,6,0,,11,,0,5,0,,66,0,71,,,82
2019,Ethiopia,ETH,Sweden,SWE,0,0,0,,0,0,,317,,0,0,0,,0,0,297,,,3185
2019,Ethiopia,ETH,Switzerland,CHE,89,60,23,,421,5,,598,,107,54,39,,403,5,608,,,1922
2019,Ethiopia,ETH,"Syrian Arab Rep.",SYR,0,0,0,,17,0,,17,,0,0,0,,0,0,0,,,17
2019,Ethiopia,ETH,Thailand,THA,0,6,0,,14,0,,20,,0,6,0,,0,0,6,,,26
2019,Ethiopia,ETH,Tunisia,TUN,0,0,0,,5,0,,5,,0,0,5,,33,0,38,,,49
2019,Ethiopia,ETH,"United Arab Emirates",ARE,0,0,5,,0,0,,5,,0,0,0,,10,0,10,,,15
2019,Ethiopia,ETH,Uganda,UGA,123,179,154,,874,17,,1347,,165,196,139,,1085,25,1610,,,2957
2019,Ethiopia,ETH,Ukraine,UKR,0,0,0,,0,0,,0,,0,0,0,,5,0,31,,,31
2019,Ethiopia,ETH,"United States of America",USA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,14635
2019,Ethiopia,ETH,Yemen,YEM,304,848,537,,4220,128,,6037,,350,965,882,,6865,133,9195,,,15872
2019,Ethiopia,ETH,Zambia,ZMB,0,0,0,,14,0,,14,,0,0,5,,19,5,29,,,43
2019,Ethiopia,ETH,Zimbabwe,ZWE,8,0,5,,15,0,,28,,0,11,0,,43,0,54,,,82
2020,Ethiopia,ETH,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,62
2020,Ethiopia,ETH,Egypt,EGY,534,278,246,,8472,15,,9545,,568,323,179,,5474,10,6554,,,16099
2020,Ethiopia,ETH,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2020,Ethiopia,ETH,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,567
2020,Ethiopia,ETH,Austria,AUT,0,0,0,,0,0,,22,,0,0,0,,0,0,38,,,291
2020,Ethiopia,ETH,Belgium,BEL,0,0,0,,0,0,,92,,0,0,0,,0,0,153,,,245
2020,Ethiopia,ETH,Belarus,BLR,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2020,Ethiopia,ETH,"Bolivia (Plurinational State of)",BOL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Botswana,BWA,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2020,Ethiopia,ETH,Brazil,BRA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,117
2020,Ethiopia,ETH,Bulgaria,BGR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,10
2020,Ethiopia,ETH,Canada,CAN,0,29,0,,282,0,,445,,0,27,0,,356,0,519,,,2019
2020,Ethiopia,ETH,Chad,TCD,0,6,0,,17,0,,23,,0,0,0,,7,0,7,,,30
2020,Ethiopia,ETH,Cameroon,CMR,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2020,Ethiopia,ETH,"Dem. Rep. of the Congo",COD,0,5,0,,0,0,,5,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Colombia,COL,0,0,0,,0,0,,0,,0,0,0,,7,0,7,,,7
2020,Ethiopia,ETH,"Costa Rica",CRI,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Cuba,CUB,0,0,0,,0,0,,0,,0,0,0,,6,0,6,,,6
2020,Ethiopia,ETH,Cyprus,CYP,0,0,0,,0,0,,5,,0,0,0,,0,0,9,,,24
2020,Ethiopia,ETH,Czechia,CZE,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Denmark,DNK,0,0,0,,0,0,,0,,0,0,0,,0,0,8,,,103
2020,Ethiopia,ETH,Djibouti,DJI,618,1289,871,,2936,171,,5885,,609,1400,973,,2644,127,5753,,,11638
2020,Ethiopia,ETH,Ecuador,ECU,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2020,Ethiopia,ETH,Eritrea,ERI,0,5,0,,0,0,,5,,0,5,0,,5,0,10,,,15
2020,Ethiopia,ETH,Ethiopia,ETH,0,13,6,,352,8,,379,,10,0,9,,56,0,75,,,2734082
2020,Ethiopia,ETH,Finland,FIN,0,0,0,,0,0,,10,,0,0,0,,0,0,28,,,184
2020,Ethiopia,ETH,France,FRA,0,0,0,,0,0,,281,,0,0,0,,0,0,626,,,2870
2020,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,0,0,0,,0,0,,218,,0,0,0,,0,0,462,,,2504
2020,Ethiopia,ETH,Germany,DEU,921,365,107,,2730,155,,4278,,854,383,98,,3465,167,4967,,,9250
2020,Ethiopia,ETH,Ghana,GHA,0,0,0,,5,0,,5,,8,0,0,,0,0,8,,,13
2020,Ethiopia,ETH,Greece,GRC,0,0,0,,0,0,,29,,0,0,0,,0,0,30,,,540
2020,Ethiopia,ETH,"China, Hong Kong SAR",HKG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2020,Ethiopia,ETH,Hungary,HUN,0,0,0,,0,0,,19,,0,0,0,,0,0,20,,,39
2020,Ethiopia,ETH,Iceland,ISL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,"Cote d'Ivoire",CIV,0,10,0,,0,0,,10,,0,0,0,,0,0,0,,,10
2020,Ethiopia,ETH,India,IND,5,0,9,,5,0,,19,,0,5,6,,6,0,17,,,36
2020,Ethiopia,ETH,Indonesia,IDN,23,15,0,,44,0,,82,,14,6,7,,63,0,90,,,172
2020,Ethiopia,ETH,Ireland,IRL,0,0,0,,25,0,,25,,0,0,0,,31,0,31,,,56
2020,Ethiopia,ETH,Iraq,IRQ,0,0,0,,0,0,,0,,0,0,0,,12,0,12,,,12
2020,Ethiopia,ETH,Israel,ISR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,913
2020,Ethiopia,ETH,Italy,ITA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,1145
